N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
88,삼성카드,"30,000",200,-0.66%,"5,000","34,758","115,859",6.59,"12,379",5.59,8.08,
89,KODEX KOFR금리액티브(합성),"102,485",25,+0.02%,0,"34,307","33,475",0.00,"16,270",N/A,N/A,
90,현대차2우B,"92,300",800,-0.86%,"5,000","33,339","36,121",62.28,"14,100",3.47,N/A,
91,한미약품,"258,000",500,-0.19%,"2,500","32,410","12,562",16.11,"5,464",39.14,9.89,
92,BGF리테일,"179,900",600,+0.33%,"1,000","31,094","17,284",34.17,"4,558",16.07,21.85,
93,호텔신라,"79,200",300,+0.38%,"5,000","31,085","39,248",18.59,"87,215",-63.16,-8.99,
94,아모레G,"36,950",750,-1.99%,500,"30,468","82,458",10.62,"63,161",57.02,1.87,
95,현대오토에버,"110,800",800,-0.72%,500,"30,386","27,424",3.23,"7,204",26.67,8.00,
96,한국금융지주,"54,400",100,-0.18%,"5,000","30,315","55,726",38.00,"42,308",5.26,8.45,
97,팬오션,"5,520",50,-0.90%,"1,000","29,508","534,570",14.38,"668,818",4.36,16.74,
98,씨에스윈드,"69,800",100,+0.14%,500,"29,436","42,171",12.05,"77,403","-3,034.78",-0.11,
99,쌍용C&E,"5,840",30,+0.52%,100,"29,425","503,860",2.46,"143,479",44.58,11.12,
100,CJ,"100,700",400,-0.40%,"5,000","29,381","29,177",18.62,"16,613",17.77,3.94,
101,롯데지주,"27,950",350,-1.24%,200,"29,322","104,909",9.12,"57,277",16.74,4.61,
102,현대해상,"32,700","1,450",-4.25%,500,"29,234","89,400",37.10,"129,593",5.09,12.44,
103,이마트,"104,500","1,500",-1.42%,"5,000","29,130","27,876",31.37,"23,200",2.83,9.59,
104,일진머티리얼즈,"63,000","3,200",-4.83%,500,"29,050","46,111",9.20,"379,194",52.11,7.85,
105,GS리테일,"27,600",0,0.00%,"1,000","28,902","104,718",9.02,"34,309",71.50,1.00,
106,NH투자증권,"8,660",40,-0.46%,"5,000","28,722","331,666",12.04,"110,821",9.82,4.32,
107,TIGER 차이나전기차SOLACTIVE,"11,185",20,+0.18%,0,"28,692","256,520",0.65,"663,419",N/A,N/A,
108,한진칼,"42,900",350,-0.81%,"2,500","28,641","66,762",16.09,"19,400",4.22,33.64,
109,한전기술,"72,300","1,400",+1.97%,200,"27,633","38,220",3.47,"112,701",153.83,3.40,
110,삼성증권,"30,850",150,-0.48%,"5,000","27,549","89,300",28.08,"47,851",6.52,6.88,
111,현대로템,"24,950",50,-0.20%,"5,000","27,231","109,142",8.29,"276,037",13.77,14.06,
112,한미사이언스,"38,550",50,+0.13%,500,"26,968","69,957",1.04,"62,063",53.17,6.37,
113,KODEX 종합채권(AA-이상)액티브,"106,065",235,+0.22%,0,"26,862","25,326",0.00,997,N/A,N/A,
114,현대미포조선,"66,900",100,-0.15%,"5,000","26,721","39,942",20.25,"54,186",-59.95,-2.07,
115,대우조선해양,"23,250",950,-3.93%,"5,000","24,945","107,291",3.22,"155,667",-1.43,-117.79,
116,키움증권,"94,800",500,-0.52%,"5,000","24,856","26,220",25.25,"13,913",4.91,25.38,
117,서울가스,"491,500","3,000",-0.61%,"5,000","24,575","5,000",5.66,"4,348",139.00,1.70,
118,동원산업,"48,250","1,750",-3.50%,"1,000","24,117","49,983",2.72,"14,159",6.10,8.53,
119,한국가스공사,"25,950",350,-1.33%,"5,000","23,955","92,313",8.35,"112,176",1.60,15.67,
120,OCI,"98,600",500,+0.51%,"5,000","23,515","23,849",17.55,"91,054",2.67,25.21,
121,LS,"72,100",100,+0.14%,"5,000","23,216","32,200",13.54,"34,390",5.14,12.00,
122,LG화학우,"297,500","3,500",-1.16%,"5,000","22,874","7,689",67.86,"7,192",12.62,N/A,
123,DB하이텍,"51,000","3,600",+7.59%,"5,000","22,643","44,399",29.43,"2,572,531",3.73,33.35,
124,KODEX 200선물인버스2X,"2,990",50,+1.70%,0,"22,637","757,100",4.40,"53,877,920",N/A,N/A,
125,롯데쇼핑,"79,300",400,-0.50%,"5,000","22,433","28,289",11.58,"15,805",-6.91,-3.30,
126,한솔케미칼,"195,400","2,500",+1.30%,"5,000","22,149","11,335",39.87,"21,395",14.28,21.36,
127,현대차우,"91,500",500,-0.54%,"5,000","22,064","24,113",59.58,"11,336",3.44,N/A,
128,한화시스템,"11,670",40,-0.34%,"5,000","22,047","188,919",3.36,"144,119",-28.81,-3.63,
129,제일기획,"19,010",200,-1.04%,200,"21,869","115,041",32.74,"64,322",11.29,16.64,
130,에스디바이오센서,"20,750",400,-1.89%,500,"21,674","104,452",14.97,"79,198",1.57,72.47,
131,두산퓨얼셀,"33,000",400,+1.23%,100,"21,613","65,494",15.92,"89,999",702.13,0.74,
132,TIGER 미국나스닥100,"73,270",670,+0.92%,0,"21,600","29,480",0.00,"41,935",N/A,N/A,
133,대성홀딩스,"134,200","1,700",+1.28%,"1,000","21,592","16,089",6.75,"19,666",596.44,0.76,
134,농심,"353,500","3,500",-0.98%,"5,000","21,502","6,083",15.96,"2,477",18.52,5.17,
135,휠라홀딩스,"35,250",550,-1.54%,"1,000","21,415","60,752",45.41,"53,942",9.94,16.20,
136,에스원,"55,200",400,-0.72%,500,"20,976","37,999",54.09,"11,618",13.89,10.19,
137,한화생명,"2,410",70,-2.82%,"5,000","20,932","868,530",7.71,"869,771",2.86,9.05,
138,TIGER 200,"31,685",255,-0.80%,0,"20,849","65,800",1.22,"193,622",N/A,N/A,
139,HL만도,"44,350",600,-1.33%,"1,000","20,825","46,957",22.04,"61,005",21.19,4.78,
140,신세계,"210,500",500,+0.24%,"5,000","20,724","9,845",19.22,"15,621",5.10,10.34,
141,삼천리,"506,000","2,000",-0.39%,"5,000","20,518","4,055",14.92,"4,784",41.65,3.58,
142,BNK금융지주,"6,210",90,-1.43%,"5,000","20,241","325,935",35.76,"369,252",2.50,8.43,
143,KODEX 레버리지,"14,485",220,-1.50%,0,"19,736","136,250",0.71,"9,632,966",N/A,N/A,
144,KODEX 200TR,"10,645",90,-0.84%,0,"19,528","183,450",0.01,"11,696",N/A,N/A,
145,영원무역,"43,900","1,050",-2.34%,500,"19,453","44,311",30.38,"29,691",2.88,26.80,
146,KCC,"216,500",0,0.00%,"5,000","19,239","8,886",12.66,"4,576",56.81,0.67,
147,동서,"19,210",10,+0.05%,500,"19,152","99,700",3.17,"18,313",11.41,11.33,
148,효성티앤씨,"436,500","5,000",-1.13%,"5,000","18,890","4,328",8.48,"10,339",162.99,0.88,
149,효성첨단소재,"420,000","4,000",-0.94%,"5,000","18,816","4,480",7.14,"6,930",15.01,19.11,
150,한화,"24,900",50,-0.20%,"5,000","18,665","74,959",17.50,"45,888",1.86,24.47,
